path,DR_level
MNIST_dataset/00000.png,5
MNIST_dataset/00001.png,0
MNIST_dataset/00002.png,4
MNIST_dataset/00003.png,1
MNIST_dataset/00004.png,9
MNIST_dataset/00005.png,2
MNIST_dataset/00006.png,1
MNIST_dataset/00007.png,3
MNIST_dataset/00008.png,1
MNIST_dataset/00009.png,4
MNIST_dataset/00010.png,3
MNIST_dataset/00011.png,5
MNIST_dataset/00012.png,3
MNIST_dataset/00013.png,6
MNIST_dataset/00014.png,1
MNIST_dataset/00015.png,7
MNIST_dataset/00016.png,2
MNIST_dataset/00017.png,8
MNIST_dataset/00018.png,6
MNIST_dataset/00019.png,9
MNIST_dataset/00020.png,4
MNIST_dataset/00021.png,0
MNIST_dataset/00022.png,9
MNIST_dataset/00023.png,1
MNIST_dataset/00024.png,1
MNIST_dataset/00025.png,2
MNIST_dataset/00026.png,4
MNIST_dataset/00027.png,3
MNIST_dataset/00028.png,2
MNIST_dataset/00029.png,7
MNIST_dataset/00030.png,3
MNIST_dataset/00031.png,8
MNIST_dataset/00032.png,6
MNIST_dataset/00033.png,9
MNIST_dataset/00034.png,0
MNIST_dataset/00035.png,5
MNIST_dataset/00036.png,6
MNIST_dataset/00037.png,0
MNIST_dataset/00038.png,7
MNIST_dataset/00039.png,6
MNIST_dataset/00040.png,1
MNIST_dataset/00041.png,8
MNIST_dataset/00042.png,7
MNIST_dataset/00043.png,9
MNIST_dataset/00044.png,3
MNIST_dataset/00045.png,9
MNIST_dataset/00046.png,8
MNIST_dataset/00047.png,5
MNIST_dataset/00048.png,9
MNIST_dataset/00049.png,3
MNIST_dataset/00050.png,3
MNIST_dataset/00051.png,0
MNIST_dataset/00052.png,7
MNIST_dataset/00053.png,4
MNIST_dataset/00054.png,9
MNIST_dataset/00055.png,8
MNIST_dataset/00056.png,0
MNIST_dataset/00057.png,9
MNIST_dataset/00058.png,4
MNIST_dataset/00059.png,1
MNIST_dataset/00060.png,4
MNIST_dataset/00061.png,4
MNIST_dataset/00062.png,6
MNIST_dataset/00063.png,0
MNIST_dataset/00064.png,4
MNIST_dataset/00065.png,5
MNIST_dataset/00066.png,6
MNIST_dataset/00067.png,1
MNIST_dataset/00068.png,0
MNIST_dataset/00069.png,0
MNIST_dataset/00070.png,1
MNIST_dataset/00071.png,7
MNIST_dataset/00072.png,1
MNIST_dataset/00073.png,6
MNIST_dataset/00074.png,3
MNIST_dataset/00075.png,0
MNIST_dataset/00076.png,2
MNIST_dataset/00077.png,1
MNIST_dataset/00078.png,1
MNIST_dataset/00079.png,7
MNIST_dataset/00080.png,9
MNIST_dataset/00081.png,0
MNIST_dataset/00082.png,2
MNIST_dataset/00083.png,6
MNIST_dataset/00084.png,7
MNIST_dataset/00085.png,8
MNIST_dataset/00086.png,3
MNIST_dataset/00087.png,9
MNIST_dataset/00088.png,0
MNIST_dataset/00089.png,4
MNIST_dataset/00090.png,6
MNIST_dataset/00091.png,7
MNIST_dataset/00092.png,4
MNIST_dataset/00093.png,6
MNIST_dataset/00094.png,8
MNIST_dataset/00095.png,0
MNIST_dataset/00096.png,7
MNIST_dataset/00097.png,8
MNIST_dataset/00098.png,3
MNIST_dataset/00099.png,1
MNIST_dataset/00100.png,5
MNIST_dataset/00101.png,7
MNIST_dataset/00102.png,1
MNIST_dataset/00103.png,7
MNIST_dataset/00104.png,1
MNIST_dataset/00105.png,1
MNIST_dataset/00106.png,6
MNIST_dataset/00107.png,3
MNIST_dataset/00108.png,0
MNIST_dataset/00109.png,2
MNIST_dataset/00110.png,9
MNIST_dataset/00111.png,3
MNIST_dataset/00112.png,1
MNIST_dataset/00113.png,1
MNIST_dataset/00114.png,0
MNIST_dataset/00115.png,4
MNIST_dataset/00116.png,9
MNIST_dataset/00117.png,2
MNIST_dataset/00118.png,0
MNIST_dataset/00119.png,0
MNIST_dataset/00120.png,2
MNIST_dataset/00121.png,0
MNIST_dataset/00122.png,2
MNIST_dataset/00123.png,7
MNIST_dataset/00124.png,1
MNIST_dataset/00125.png,8
MNIST_dataset/00126.png,6
MNIST_dataset/00127.png,4
MNIST_dataset/00128.png,1
MNIST_dataset/00129.png,6
MNIST_dataset/00130.png,3
MNIST_dataset/00131.png,4
MNIST_dataset/00132.png,5
MNIST_dataset/00133.png,9
MNIST_dataset/00134.png,1
MNIST_dataset/00135.png,3
MNIST_dataset/00136.png,3
MNIST_dataset/00137.png,8
MNIST_dataset/00138.png,5
MNIST_dataset/00139.png,4
MNIST_dataset/00140.png,7
MNIST_dataset/00141.png,7
MNIST_dataset/00142.png,4
MNIST_dataset/00143.png,2
MNIST_dataset/00144.png,8
MNIST_dataset/00145.png,5
MNIST_dataset/00146.png,8
MNIST_dataset/00147.png,6
MNIST_dataset/00148.png,7
MNIST_dataset/00149.png,3
MNIST_dataset/00150.png,4
MNIST_dataset/00151.png,6
MNIST_dataset/00152.png,1
MNIST_dataset/00153.png,9
MNIST_dataset/00154.png,9
MNIST_dataset/00155.png,6
MNIST_dataset/00156.png,0
MNIST_dataset/00157.png,3
MNIST_dataset/00158.png,7
MNIST_dataset/00159.png,2
MNIST_dataset/00160.png,8
MNIST_dataset/00161.png,2
MNIST_dataset/00162.png,9
MNIST_dataset/00163.png,4
MNIST_dataset/00164.png,4
MNIST_dataset/00165.png,6
MNIST_dataset/00166.png,4
MNIST_dataset/00167.png,9
MNIST_dataset/00168.png,7
MNIST_dataset/00169.png,0
MNIST_dataset/00170.png,9
MNIST_dataset/00171.png,2
MNIST_dataset/00172.png,9
MNIST_dataset/00173.png,5
MNIST_dataset/00174.png,1
MNIST_dataset/00175.png,5
MNIST_dataset/00176.png,9
MNIST_dataset/00177.png,1
MNIST_dataset/00178.png,2
MNIST_dataset/00179.png,3
MNIST_dataset/00180.png,2
MNIST_dataset/00181.png,3
MNIST_dataset/00182.png,5
MNIST_dataset/00183.png,9
MNIST_dataset/00184.png,1
MNIST_dataset/00185.png,7
MNIST_dataset/00186.png,6
MNIST_dataset/00187.png,2
MNIST_dataset/00188.png,8
MNIST_dataset/00189.png,2
MNIST_dataset/00190.png,2
MNIST_dataset/00191.png,5
MNIST_dataset/00192.png,0
MNIST_dataset/00193.png,7
MNIST_dataset/00194.png,4
MNIST_dataset/00195.png,9
MNIST_dataset/00196.png,7
MNIST_dataset/00197.png,8
MNIST_dataset/00198.png,3
MNIST_dataset/00199.png,2
MNIST_dataset/00200.png,1
MNIST_dataset/00201.png,1
MNIST_dataset/00202.png,8
MNIST_dataset/00203.png,3
MNIST_dataset/00204.png,6
MNIST_dataset/00205.png,1
MNIST_dataset/00206.png,0
MNIST_dataset/00207.png,3
MNIST_dataset/00208.png,1
MNIST_dataset/00209.png,0
MNIST_dataset/00210.png,0
MNIST_dataset/00211.png,1
MNIST_dataset/00212.png,7
MNIST_dataset/00213.png,2
MNIST_dataset/00214.png,7
MNIST_dataset/00215.png,3
MNIST_dataset/00216.png,0
MNIST_dataset/00217.png,4
MNIST_dataset/00218.png,6
MNIST_dataset/00219.png,5
MNIST_dataset/00220.png,2
MNIST_dataset/00221.png,6
MNIST_dataset/00222.png,4
MNIST_dataset/00223.png,7
MNIST_dataset/00224.png,1
MNIST_dataset/00225.png,8
MNIST_dataset/00226.png,9
MNIST_dataset/00227.png,9
MNIST_dataset/00228.png,3
MNIST_dataset/00229.png,0
MNIST_dataset/00230.png,7
MNIST_dataset/00231.png,1
MNIST_dataset/00232.png,0
MNIST_dataset/00233.png,2
MNIST_dataset/00234.png,0
MNIST_dataset/00235.png,3
MNIST_dataset/00236.png,5
MNIST_dataset/00237.png,4
MNIST_dataset/00238.png,6
MNIST_dataset/00239.png,5
MNIST_dataset/00240.png,8
MNIST_dataset/00241.png,6
MNIST_dataset/00242.png,3
MNIST_dataset/00243.png,7
MNIST_dataset/00244.png,5
MNIST_dataset/00245.png,8
MNIST_dataset/00246.png,0
MNIST_dataset/00247.png,9
MNIST_dataset/00248.png,1
MNIST_dataset/00249.png,0
MNIST_dataset/00250.png,3
MNIST_dataset/00251.png,1
MNIST_dataset/00252.png,2
MNIST_dataset/00253.png,2
MNIST_dataset/00254.png,3
MNIST_dataset/00255.png,3
MNIST_dataset/00256.png,6
MNIST_dataset/00257.png,4
MNIST_dataset/00258.png,7
MNIST_dataset/00259.png,5
MNIST_dataset/00260.png,0
MNIST_dataset/00261.png,6
MNIST_dataset/00262.png,2
MNIST_dataset/00263.png,7
MNIST_dataset/00264.png,9
MNIST_dataset/00265.png,8
MNIST_dataset/00266.png,5
MNIST_dataset/00267.png,9
MNIST_dataset/00268.png,2
MNIST_dataset/00269.png,1
MNIST_dataset/00270.png,1
MNIST_dataset/00271.png,4
MNIST_dataset/00272.png,4
MNIST_dataset/00273.png,5
MNIST_dataset/00274.png,6
MNIST_dataset/00275.png,4
MNIST_dataset/00276.png,1
MNIST_dataset/00277.png,2
MNIST_dataset/00278.png,5
MNIST_dataset/00279.png,3
MNIST_dataset/00280.png,9
MNIST_dataset/00281.png,3
MNIST_dataset/00282.png,9
MNIST_dataset/00283.png,0
